t,x,y
s,m,m
0.0,0.144,-0.135
0.04,0.157,-0.116
0.08,0.169,-0.099
0.12,0.182,-0.077
0.16,0.192,-0.047
0.2,0.198,-0.022
0.24,0.195,0.005
0.28,0.195,0.03
0.32,0.188,0.054
0.36,0.18,0.079
0.4,0.169,0.101
0.44,0.149,0.122
0.48,0.135,0.141
0.52,0.117,0.155
0.56,0.099,0.164
0.6,0.074,0.176
0.64,0.047,0.185
0.68,0.017,0.188
0.72,-0.008,0.188
0.76,-0.024,0.188
0.8,-0.052,0.18
0.84,-0.08,0.172
0.88,-0.105,0.158
0.92,-0.126,0.139
0.96,-0.144,0.127
1.0,-0.158,0.108
1.04,-0.17,0.083
1.08,-0.182,0.058
1.12,-0.189,0.03
1.16,-0.192,0.007
1.2,-0.192,-0.014
1.24,-0.188,-0.041
1.28,-0.182,-0.067
1.32,-0.169,-0.097
1.36,-0.155,-0.116
1.4,-0.139,-0.135
1.44,-0.122,-0.152
1.48,-0.104,-0.166
1.52,-0.083,-0.176
1.56,-0.055,-0.186
1.6,-0.027,-0.194
1.64,-0.004,-0.195
1.68,0.02,-0.194
1.72,0.048,-0.189
1.76,0.073,-0.18
1.8,0.091,-0.172
1.84,0.116,-0.157
1.88,0.132,-0.145
